candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-57407579505,네이밍,[품절대란/단종템부활] 네이밍 플러피 파우더 블러쉬,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000171371,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56354126230,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 블러 (글로스미니 로즈도즈),cheek,m.a-bly.com,https://m.a-bly.com/goods/50435892?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=50435892,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59330543110,페리페라,페리페라 시럽피 톡 치크 13 Colors,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000217779,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59678662082,네이밍,[7월 올영픽/여름지성쿠션] 네이밍 올데이 마스터 쿠션 리필 기획 (+부오이 파우치),base,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000251851,manual_review_required,robots_fetch_failed_requires_manual_review
naver-57535925915,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션(본품+리필),base,m.a-bly.com,https://m.a-bly.com/goods/34025072?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34025072,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56456048563,웨이크메이크,웨이크메이크 소프트 드로잉 슬림 브로우 4COLOR,brow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000208272,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56425945155,웨이크메이크,[1+1]웨이크메이크 철벽 브러쉬 아이라이너 3COLOR(1+1 기획),liner,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000130012,manual_review_required,robots_fetch_failed_requires_manual_review
naver-46093215046,라카,[라카]모노 아이섀도우 (50종 택1),shadow,chicor.com,https://chicor.com/goods/0000000079824?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-55027228004,에뛰드,에뛰드 하트 팝 블러셔,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000181634,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56424895679,웨이크메이크,[숨결 블러셔]웨이크메이크 쉬어 브리즈 블러셔 5g 7COLOR,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223261,manual_review_required,robots_fetch_failed_requires_manual_review
naver-57918569105,클리오,클리오 익스트림 젤프레소 펜슬라이너,liner,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000160931,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59503960155,VDL,[NEW제형출시] VDL 치크스테인 블러셔 밤 5.5g,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000250255,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59660675985,데이지크,[데이지크] 미니 블렌딩 무드 치크,cheek,m.a-bly.com,https://m.a-bly.com/goods/67205249?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=67205249,manual_review_required,terms_not_configured
