candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-54032289691,컬러그램,[파데프리템]컬러그램 긱 누드 스킨 틴트 4COLOR,base,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223679,manual_review_required,robots_fetch_failed_requires_manual_review
naver-55774345211,컬러그램,[포켓몬 에디션/모공블러셔]컬러그램 틴토리 솜 블러셔 14COLOR,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000228682,manual_review_required,robots_fetch_failed_requires_manual_review
naver-50894865563,컬러그램,[꼬막눈 확장/듀오기획]컬러그램 음영 창조 라이너 10COLOR (기획/단품),liner,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000162103,manual_review_required,robots_fetch_failed_requires_manual_review
naver-60231168254,웨이크메이크,[NEW/미니틴트 기획] 웨이크메이크 볼드 립 블러 틴트 15COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000258196,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56424883397,웨이크메이크,[미니틴트 증정]웨이크메이크 워터 블러링 레이어 틴트 14COLOR(단품/기획),lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223250,manual_review_required,robots_fetch_failed_requires_manual_review
naver-55580987021,웨이크메이크,[NEW/크림블러셔 기획] 웨이크메이크 소프트 블러링 아이팔레트(단품/기획),shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000180532,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56212686933,웨이크메이크,[파우치 기획]웨이크메이크 워터 글로우 코팅밤(단품/기획),base,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000209147,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56456062597,웨이크메이크,[NEW/헬시 치크] 웨이크메이크 쉐이킹 블러 치크 9COLOR,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000231339,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56424895679,웨이크메이크,[숨결 블러셔]웨이크메이크 쉬어 브리즈 블러셔 5g 7COLOR,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223261,manual_review_required,robots_fetch_failed_requires_manual_review
naver-58334238932,웨이크메이크,[핑거퍼프 기획]웨이크메이크 쉬어 글로우 리퀴드 블러셔 5COLOR 기획,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000211575,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59069901601,웨이크메이크,[아이돌블러셔/단종템부활] 웨이크메이크 믹스 블러링 볼륨 블러셔 5COLOR,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000248458,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59284990293,웨이크메이크,[다굽자/아이돌샤라웃]웨이크메이크 믹스 블러링 볼륨&쉬어 브리즈 블러셔,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000248938,manual_review_required,robots_fetch_failed_requires_manual_review
