candidateId,brand,category,rankInBrandCategory,productName,priorityScore,selectedForBatch,missingCoreFieldCount,missingFieldGroups,detailCollectionStatus,fetchStatus,domain,sourceStrategy,sourceUrl
naver-60565548610,웨이크메이크,base,9,컨실러리필 웨이크메이크 심리스 웨어 쿠션 9COLOR 기획 4044760,93.03,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2706823755?sitmNo=LO2706823755_2706823756&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-56740517262,클리오,base,9,클리오 [NEW] 클리오 킬커버 메쉬 글로우 에센셜 쿠션 리필,92.97,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,www.lotteimall.com,naver_live_offer_title_rule_adapter,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=3085214759&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare
naver-60525518463,3CE,base,9,3CE 핏팅 메쉬 커버 쿠션,92.92,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,display.cjonstyle.com,naver_live_offer_title_rule_adapter,https://display.cjonstyle.com/p/item/2087122048?infl_cd=I0696&utm_medium=pcs&utm_source=naver
naver-56754378318,에뛰드,base,9,[에뛰드] [포시러브] 클라우드 필터 쿠션 미니쿠션 기획세트,92.89,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1092699273&vodFlag=N&prdseqnum=1092699273&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-60407013647,더샘,base,9,[온누리상품] 더샘 트루핏 글로우 쿠션 23피칸(본품+리필),92.86,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2698608568?sitmNo=LO2698608568_2698608569&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-57705495648,웨이크메이크,brow,3,[NEW/브로우픽서 증정] 웨이크메이크 내추럴 하드 브로우 펜슬 9COLOR (1+1기획),92.84,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000178972
naver-60652170605,VDL,base,9,[현대신촌점] [브이디엘]커버스테인 퍼펙팅 쿠션 리필X,92.83,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,www.hmall.com,naver_live_offer_title_rule_adapter,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2251739622&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale
naver-60276661522,라카,base,9,라카 NEW 본딩 커버 쿠션 5종 택1,92.8,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2692475518?sitmNo=LO2692475518_2692475519&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-57251615906,클리오,brow,3,클리오 킬브로우 쉐이핑파우더브로우,92.78,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000205771
naver-56985135436,네이밍,base,9,네이밍 레이어드 핏 쿠션 본품1개 + 리필1개 색상 21Y,92.77,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2553151314?sitmNo=LO2553151314_2553151315&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
