candidateId,brand,productName,category,domain,collectionStatus,failureReason,sourceUrl
naver-56707561274,정샘물 뷰티,[정샘물뷰티] 정샘물 립프레션 메탈 세럼 글로스 (글리터 립 토퍼 ),lip,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/52763086?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=52763086
naver-59919517696,정샘물 뷰티,[정샘물뷰티] 정샘물 립프레션 글로이 틴트 (글리터링토퍼 라벤더슈가),lip,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/68492808?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=68492808
naver-60084440202,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 아이 팔레트 코어 6종 (아이 팔레트 코어 브러쉬),shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/69321238?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=69321238
naver-51227858558,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 아이 팔레트 누드 2종 (아티스트아이팔레트브러쉬),shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/33107983?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=33107983
naver-49163477690,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션 리필 x 2개 (더블클린 수정화장패드 x 5매),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3093835?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3093835
naver-57535925915,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션(본품+리필),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/34025072?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34025072
naver-60517648824,정샘물 뷰티,[정샘물뷰티] MINI 정샘물 프로래스팅 결핏 메쉬 쿠션,base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/50435203?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=50435203
naver-49163565974,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 롱웨어 쿠션 리필 x 2개 (더블클린 수정화장패드 x 5매),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/6451068?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=6451068
naver-49163556640,정샘물 뷰티,[정샘물뷰티] 정샘물 스킨 누더 커버레이어 쿠션 리필x2 (더블클린 수정화장패드 x 5매),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/12917455?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=12917455
naver-60505999269,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션 본품 (글로이 틴트 미니),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/63925179?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=63925179
