priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
49,naver-58748277681,롬앤,롬앤 한올 아이팟 라이너 01 브라운 토프 5g 2개,liner,colorFamily | texture | intensity,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9327708235&ctag=9327708235&lptag=I27660792630&itemId=27660792630&vendorItemId=94623091911&spec=10305197,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,link.coupang.com,fetched,not_configured,manual_review_required_before_detail_fetch,colorFamily,blocked,robots_disallowed,True
50,naver-58604840416,롬앤,[NEW/ 롬앤] 한올 아이팟 라이너,liner,colorFamily | texture | intensity,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=8977558499&tid=1000000061,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.11st.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
51,naver-31562567077,롬앤,[롬앤] 한올 샤프/플랫 브로우 12종,brow,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/301447328?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
52,naver-52466577328,롬앤,[롬앤] 한올 브로우 카라,brow,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/302630289?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
53,naver-26824402312,롬앤,[롬앤] 한올 샤프 브로우,brow,colorFamily | texture | intensity,https://chicor.com/goods/0000000036952?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
54,naver-56809639158,롬앤,[롬앤] 한올 브로우 픽서,brow,colorFamily | texture | intensity,https://chicor.com/goods/0000000036961?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
55,naver-43151010847,롬앤,[롬앤] 한올 브로우 카라,brow,colorFamily | texture | intensity,https://chicor.com/goods/0000000089063?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
56,naver-52466581152,롬앤,[롬앤] 한올 브로우 카라x2,brow,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/305923814?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
57,naver-53922043201,롬앤,롬앤 한올 샤프 브로우,brow,colorFamily | texture | intensity,https://www.lotteon.com/p/product/LO2464667354?sitmNo=LO2464667354_2464667355&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
58,naver-54859828855,롬앤,[롬앤] 한올 브로우 픽서,brow,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/301447391?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
59,naver-29153142323,롬앤,[롬앤] 한올 플랫+샤프브로우 2종,brow,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/301486129?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
60,naver-26824402311,롬앤,[롬앤] 한올 플랫 브로우,brow,colorFamily | texture | intensity,https://chicor.com/goods/0000000036946?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
