priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
12,naver-57918549046,롬앤,롬앤 글래스팅 워터 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000136343,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_fetch_failed_requires_manual_review,True
13,naver-49163543139,정샘물 뷰티,[정샘물뷰티] 정샘물 립프레션 시스루 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://m.a-bly.com/goods/2926732?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2926732,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_not_configured,True
14,naver-53124255709,컬러그램,[싱글섀도우]컬러그램 싱글 큐브 섀도우 23COLOR,shadow,palette | colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000216667,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,terms_fetch_failed_requires_manual_review,True
15,naver-40173750236,3CE,[1+1] 3CE 블러 워터 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2151022241&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.hmall.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | shadeName | shadeSource | texture,blocked,robots_disallowed,True
16,naver-46090066033,페리페라,[NEW COLOR] 페리페라 오버 블러 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1050493514&vodFlag=N&prdseqnum=1050493514&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | texture,blocked,robots_disallowed,True
17,naver-56212686933,웨이크메이크,[파우치 기획]웨이크메이크 워터 글로우 코팅밤(단품/기획),base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000209147,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish | texture,manual_review_required,terms_fetch_failed_requires_manual_review,True
18,naver-55799295334,에뛰드,[에뛰드] 포근 픽싱 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1089439700&vodFlag=N&prdseqnum=1089439700&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
19,naver-58490394145,컬러그램,[컬러립밤]컬러그램 틴토리 잼 6COLOR,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201777,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_fetch_failed_requires_manual_review,True
20,naver-60638545186,데이지크,데이지크 워터 듀이 젤 쿠션 3 colors 4065808,base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.lotteon.com/p/product/LO2711153369?sitmNo=LO2711153369_2711153370&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
21,naver-59999134087,데이지크,[데이지크] 무드 싱글 섀도우 40종,shadow,palette | colorFamily | finish | texture,https://m.a-bly.com/goods/53145563?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=53145563,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
